Alumnischolarshipfund,Alumnischolarshipfund,Alumnischolarshipfund
Backpacksforkids,Backpacksforkids,Backpacksforkids
Centralnebraskainterpretersgroup,Centralnebraskainterpretersgroup,Centralnebraskainterpretersgroup
Cfilex,Cfilex,Cfilex
Class-Of-77-Scholarship-Fund,Club180,Class-Of-77-Scholarship-Fund
Club180,Communityactionpartnershipofmidnebraska,Club180
Communityactionpartnershipofmidnebraska,Crohnsandcolitisfoundationteamchallengeprogram,Communityactionpartnershipofmidnebraska
Crohnsandcolitisfoundationteamchallengeprogram,Daughtersoftheamericanrevolutionbonnevillechapter,Crohnsandcolitisfoundationteamchallengeprogram
Daughtersoftheamericanrevolutionbonnevillechapter,Dawsoncounty4-H,Daughtersoftheamericanrevolutionbonnevillechapter
Dawsoncounty4-H,Dawsoncounty-Agsociety,Dawsoncounty4-H
Dawsoncounty-Agsociety,Dawsoncountychildrensmuseum,Dawsoncounty-Agsociety
Dawsoncountychildrensmuseum,Dawsoncountyhistoricalsocietyandmuseum,Dawsoncountychildrensmuseum
Dawsoncountyhistoricalsocietyandmuseum,Dawsoncountyk-9unit,Dawsoncountyhistoricalsocietyandmuseum
Dawsoncountyk-9unit,Dawsoncountyparentchildprotectiveservices,Dawsoncountyk-9unit
Dawsoncountyparentchildprotectiveservices,Dawsongospercountycasaprogram,Dawsoncountyparentchildprotectiveservices
Dawsongospercountycasaprogram,Good-Samaritan-Fund-2013,Dawsongospercountycasaprogram
Good-Samaritan-Fund-2013,Grandgenerationcenter,Good-Samaritan-Fund-2013
Grandgenerationcenter,Heartlandmuseumofmilitaryvehicles,Grandgenerationcenter
Heartlandmuseumofmilitaryvehicles,Johnsonlake-Ems,Heartlandmuseumofmilitaryvehicles
Jltrails,Johnsonlakefireworks,Jltrails
Johnsonlake-Ems,Jltrails,Johnsonlake-Ems
Johnsonlakefireworks,Keep-Lex-Beautiful,Johnsonlakefireworks
Keep-Lex-Beautiful,Lexingtonareaunitedway,Keep-Lex-Beautiful
Lexconcertfund,Lexingtonathleticboosterclub,Lexconcertfund
Lexingtonalumniassociation,Lexingtonbaseballassociation,Lexingtonalumniassociation
Lexingtonareaunitedway,Lexingtonboyscouts,Lexingtonareaunitedway
Lexingtonathleticboosterclub,Lexconcertfund,Lexingtonathleticboosterclub
Lexingtonbaseballassociation,Lexingtoneducationapprecitionfund,Lexingtonbaseballassociation
Lexingtonboyscouts,Lexingtonfireworksfund,Lexingtonboyscouts
Lexingtoneducationapprecitionfund,Lexingtongirlscouts,Lexingtoneducationapprecitionfund
Lexingtonfireworksfund,Lexingtongirlsfastpitchassociation,Lexingtonfireworksfund
Lexingtongirlscouts,Lexingtonalumniassociation,Lexingtongirlscouts
Lexingtongirlsfastpitchassociation,Lexingtonknightsofcolumbuscouncil,Lexingtongirlsfastpitchassociation
Lexingtonknightsofcolumbuscouncil,Lexlionsclub,Lexingtonknightsofcolumbuscouncil
Lexingtonmajestictheaterproject,Lexingtonmajestictheaterproject,Lexingtonmajestictheaterproject
Lexingtonministerialassociation,Lexingtonministerialassociation,Lexingtonministerialassociation
Lexingtonparksandtrailsfund,Lexoptimistclub,Lexingtonparksandtrailsfund
Lexingtonpubliclibraryfriendsofthelibrary,Lexingtonparksandtrailsfund,Lexingtonpubliclibraryfriendsofthelibrary
Lexingtonredcrossbloodmobile,Lexingtonpubliclibraryfriendsofthelibrary,Lexingtonredcrossbloodmobile
Lexingtonregionalhealthcentercharitablefund,Lexingtonredcrossbloodmobile,Lexingtonregionalhealthcentercharitablefund
Lexingtonrotary,Lexingtonregionalhealthcentercharitablefund,Lexingtonrotary
Lexingtonsoccerleague,Lexingtonrotary,Lexingtonsoccerleague
Lexingtonvolunteerfiredepartment,Lexingtonsoccerleague,Lexingtonvolunteerfiredepartment
Lexingtonyouthbowlingleague,Lexingtonvolunteerfiredepartment,Lexingtonyouthbowlingleague
Lexlionsclub,Lexingtonyouthbowlingleague,Lexlionsclub
Lexoptimistclub,Mealsonwheels,Lexoptimistclub
Mealsonwheels,Missvozlatinaleadershipprogram,Mealsonwheels
Mfaa,Operationsantaclaus1,Mfaa
Missvozlatinaleadershipprogram,Passionforpaws,Missvozlatinaleadershipprogram
Operationsantaclaus1,Plumcreekcommunityplayers1,Operationsantaclaus1
Passionforpaws,Plumcreekdays2014,Passionforpaws
Plumcreekcommunityplayers1,Relayforlifeofdawsoncounty,Plumcreekcommunityplayers1
Plumcreekdays2014,Salvationarmy,Plumcreekdays2014
Relayforlifeofdawsoncounty,Skateparkfund,Relayforlifeofdawsoncounty
Salvationarmy,Somalicommunitycenteroflexingtonnebraska,Salvationarmy
Skateparkfund,Teammatesoflexington,Skateparkfund
Somalicommunitycenteroflexingtonnebraska,Thewelcomecenter,Somalicommunitycenteroflexingtonnebraska
Teammatesoflexington,Tri-Countyshrineclubtransportationfund,Teammatesoflexington
Thewelcomecenter,Volunteerincometaxassistanceprogram,Thewelcomecenter
Tri-Countyshrineclubtransportationfund,Ymcaoflex,Tri-Countyshrineclubtransportationfund
Volunteerincometaxassistanceprogram,Mfaa,Volunteerincometaxassistanceprogram
Ymcaoflex,Class-Of-77-Scholarship-Fund,Ymcaoflex
